nome;vendedor;Avaliação;reviews;preco_antigo;preco_atual
Keycaps De Pbt Compatíveis Com 71 Teclas Coral Sea Dye;;;;71.0;68.0
Ventilador De Refrigeração De Substituição Compatível;;;;71.0;67.0
Ventilador De Resfriamento Interno Compatível Para Laptop,;;;;70.0;66.0
Compatível Novo Para El Reposamanos Legion 5-15imh05h;;;;265.0;252.0
Ventilador Portátil Compatível Com Ga503rm Com 4 Pinos De;;;;66.0;62.0
Ventilador De Refrigeração De Substituição Compatível Para;;;;66.0;62.0
Cabo Compatível De Toma De Alimentación 04vp7c For;;;;64.0;61.0
Keycaps Pretos Compatíveis Com 132 Teclas, Keycaps;;;;64.0;60.0
Placa De Alimentação Compatível Danificada 450 6050a2493201;;;;63.0;60.0
Substituição De Ventilador De Resfriamento Compatível;;;;61.0;58.0
Tampas De Chave Abs Transparentes Compatíveis Com 10 Peças,;;;;58.0;55.0
Adaptador De Conector Dourado De Ângulo 5 F Compatível;;;;58.0;55.0
Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto;Dell;4.8;47;4.739;4.399
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza;Positivo;4.5;559;2.099;1.399
Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza;Positivo;4.7;230;2.199;1.499
Ventilador De Resfriamento De Substituição Compatível Para;;;;56.0;53.0
Compatível Com Latitude 3520 Lcd, Capa Traseira, 0kjrhf;;;;194.0;184.0
Tampa De Base De Reposição Compatível;;;;52.0;50.0
Conjunto De Interruptores De Teclado Mecânico Compatíveis,;;;;52.0;50.0
Cabo De Extensão Compatível Com Placa-mãe Pcie X1 Para X1;;;;51.0;49.0
Ventilador De Resfriamento De Substituição Compatível Para;;;;51.0;49.0
Notebook HP 256R G9 Intel Core i5-1334U 15.6 HD Intel UHD 256GB SSD 16GB RAM Windows 11 Home 64 PLS SL - BQ9L2AT#AK4;HP;5.0;2;4.754;3.324
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD";Vaio;4.8;134;4.799;3.449
"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey";NegociuN;5.0;2;4.089;3.329
Interruptor De Teclado De Campainha Compatível;;;;50.0;47.0
Conector Compatível 5.5x2.1mm 10 Peças 12v Dc Enchufe;;;;49.0;47.0
1 Conjunto De Interruptores De Teclado Mecânico Compatível;;;;49.0;46.0
Cabo Compatível Pwm 3/quatro Pinos Pwm Ventilador A 3;;;;49.0;46.0
Compatível Substitui Teclado, Substituição, Durável E;;;;49.0;46.0
Compatível Com Substituição Precisa De Recortes Precisos Do;;;;49.0;46.0
Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto;Positivo;4.6;57;3.899;2.699
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837";2Eletro;4.4;42;6.998;4.899
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto;2Eletro;4.3;7;4.11;2.999
Porta De Carregamento Usb Compatível Com Pcb De Licença;;;;49.0;46.0
Plugue Quadrado De 35 Mm Compatível Com Soquete Quadrado;;;;49.0;46.0
Adesivos Compatíveis Para Teclado De Computador, Adesivos;;;;40.0;38.0
Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837;Eshop;5.0;60;7.419;5.025
Capa Compatível 5cb1f38660 Para Legion 5 15iah7 15arh7 5;;;;113.0;107.0
Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza;Positivo;4.7;230;2.199;1.499
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6 Cinza;123 Comprou;4.9;8;2.141;1.321
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1739;Mercado Livre;4.6;23;2.899;2.706
